2020-03-10,Davison,South Dakota,46035,2,1
2020-03-11,Davison,South Dakota,46035,2,1
2020-03-12,Davison,South Dakota,46035,2,1
2020-03-13,Davison,South Dakota,46035,2,1
2020-03-14,Davison,South Dakota,46035,2,1
2020-03-15,Davison,South Dakota,46035,2,1
2020-03-16,Davison,South Dakota,46035,2,1
2020-03-17,Davison,South Dakota,46035,2,1
2020-03-18,Davison,South Dakota,46035,2,1
2020-03-19,Davison,South Dakota,46035,2,1
2020-03-20,Davison,South Dakota,46035,2,1
2020-03-21,Davison,South Dakota,46035,2,1
2020-03-22,Davison,South Dakota,46035,2,1
2020-03-23,Davison,South Dakota,46035,2,1
2020-03-24,Davison,South Dakota,46035,2,1
2020-03-25,Davison,South Dakota,46035,2,1
2020-03-26,Davison,South Dakota,46035,2,1
2020-03-27,Davison,South Dakota,46035,2,1
2020-03-28,Davison,South Dakota,46035,2,1
2020-03-29,Davison,South Dakota,46035,2,1
2020-03-30,Davison,South Dakota,46035,2,1
2020-03-31,Davison,South Dakota,46035,2,1
2020-04-01,Davison,South Dakota,46035,2,1
2020-04-02,Davison,South Dakota,46035,3,1
2020-04-03,Davison,South Dakota,46035,3,1
2020-04-04,Davison,South Dakota,46035,3,1
2020-04-05,Davison,South Dakota,46035,3,1
2020-04-06,Davison,South Dakota,46035,3,1
2020-04-07,Davison,South Dakota,46035,3,1
2020-04-08,Davison,South Dakota,46035,3,1
2020-04-09,Davison,South Dakota,46035,3,1
2020-04-10,Davison,South Dakota,46035,3,1
2020-04-11,Davison,South Dakota,46035,3,1
2020-04-12,Davison,South Dakota,46035,3,1
2020-04-13,Davison,South Dakota,46035,3,1
2020-04-14,Davison,South Dakota,46035,3,1
2020-04-15,Davison,South Dakota,46035,3,1
2020-04-16,Davison,South Dakota,46035,3,1
2020-04-17,Davison,South Dakota,46035,3,1
2020-04-18,Davison,South Dakota,46035,3,1
2020-04-19,Davison,South Dakota,46035,3,1
2020-04-20,Davison,South Dakota,46035,3,1
2020-04-21,Davison,South Dakota,46035,4,1
2020-04-22,Davison,South Dakota,46035,5,1
2020-04-23,Davison,South Dakota,46035,5,1
2020-04-24,Davison,South Dakota,46035,5,1
2020-04-25,Davison,South Dakota,46035,5,1
2020-04-26,Davison,South Dakota,46035,6,1
2020-04-27,Davison,South Dakota,46035,6,1
2020-04-28,Davison,South Dakota,46035,6,1
2020-04-29,Davison,South Dakota,46035,6,1
2020-04-30,Davison,South Dakota,46035,6,1
2020-05-01,Davison,South Dakota,46035,6,1
2020-05-02,Davison,South Dakota,46035,6,1
2020-05-03,Davison,South Dakota,46035,6,1
2020-05-04,Davison,South Dakota,46035,6,1
2020-05-05,Davison,South Dakota,46035,7,1
2020-05-06,Davison,South Dakota,46035,7,1
2020-05-07,Davison,South Dakota,46035,7,1
2020-05-08,Davison,South Dakota,46035,7,1
2020-05-09,Davison,South Dakota,46035,7,1
2020-05-10,Davison,South Dakota,46035,7,1
2020-05-11,Davison,South Dakota,46035,7,1
2020-05-12,Davison,South Dakota,46035,8,1
2020-05-13,Davison,South Dakota,46035,8,1
