2020-03-25,Neosho,Kansas,20133,1,0
2020-03-26,Neosho,Kansas,20133,1,0
2020-03-27,Neosho,Kansas,20133,1,0
2020-03-28,Neosho,Kansas,20133,1,0
2020-03-29,Neosho,Kansas,20133,1,0
2020-03-30,Neosho,Kansas,20133,1,0
2020-03-31,Neosho,Kansas,20133,1,0
2020-04-01,Neosho,Kansas,20133,1,0
2020-04-02,Neosho,Kansas,20133,1,0
2020-04-03,Neosho,Kansas,20133,1,0
2020-04-04,Neosho,Kansas,20133,1,0
2020-04-05,Neosho,Kansas,20133,1,0
2020-04-06,Neosho,Kansas,20133,1,0
2020-04-07,Neosho,Kansas,20133,1,0
2020-04-08,Neosho,Kansas,20133,1,0
2020-04-09,Neosho,Kansas,20133,1,0
2020-04-10,Neosho,Kansas,20133,1,0
2020-04-11,Neosho,Kansas,20133,2,0
2020-04-12,Neosho,Kansas,20133,2,0
2020-04-13,Neosho,Kansas,20133,2,0
2020-04-14,Neosho,Kansas,20133,2,0
2020-04-15,Neosho,Kansas,20133,2,0
2020-04-16,Neosho,Kansas,20133,2,0
2020-04-17,Neosho,Kansas,20133,2,0
2020-04-18,Neosho,Kansas,20133,2,0
2020-04-19,Neosho,Kansas,20133,2,0
2020-04-20,Neosho,Kansas,20133,2,0
2020-04-21,Neosho,Kansas,20133,2,0
2020-04-22,Neosho,Kansas,20133,2,0
2020-04-23,Neosho,Kansas,20133,2,0
2020-04-24,Neosho,Kansas,20133,2,0
2020-04-25,Neosho,Kansas,20133,2,0
2020-04-26,Neosho,Kansas,20133,2,0
2020-04-27,Neosho,Kansas,20133,2,0
2020-04-28,Neosho,Kansas,20133,2,0
2020-04-29,Neosho,Kansas,20133,3,0
2020-04-30,Neosho,Kansas,20133,3,0
2020-05-01,Neosho,Kansas,20133,3,0
2020-05-02,Neosho,Kansas,20133,3,0
2020-05-03,Neosho,Kansas,20133,3,0
2020-05-04,Neosho,Kansas,20133,3,0
2020-05-05,Neosho,Kansas,20133,3,0
2020-05-06,Neosho,Kansas,20133,3,0
2020-05-07,Neosho,Kansas,20133,3,0
2020-05-08,Neosho,Kansas,20133,2,0
2020-05-09,Neosho,Kansas,20133,2,0
2020-05-10,Neosho,Kansas,20133,2,0
2020-05-11,Neosho,Kansas,20133,2,0
2020-05-12,Neosho,Kansas,20133,2,0
2020-05-13,Neosho,Kansas,20133,2,0
2020-05-14,Neosho,Kansas,20133,2,0
2020-05-15,Neosho,Kansas,20133,2,0
2020-05-16,Neosho,Kansas,20133,2,0
2020-05-17,Neosho,Kansas,20133,2,0
2020-05-18,Neosho,Kansas,20133,2,0
2020-05-19,Neosho,Kansas,20133,2,0
2020-05-20,Neosho,Kansas,20133,2,0
2020-05-21,Neosho,Kansas,20133,2,0
2020-05-22,Neosho,Kansas,20133,3,0
2020-05-23,Neosho,Kansas,20133,3,0
2020-05-24,Neosho,Kansas,20133,3,0
2020-05-25,Neosho,Kansas,20133,2,0
2020-05-26,Neosho,Kansas,20133,2,0
2020-05-27,Neosho,Kansas,20133,2,0
2020-05-28,Neosho,Kansas,20133,2,0
2020-05-29,Neosho,Kansas,20133,2,0
2020-05-30,Neosho,Kansas,20133,2,0
2020-05-31,Neosho,Kansas,20133,2,0
2020-06-01,Neosho,Kansas,20133,2,0
2020-06-02,Neosho,Kansas,20133,2,0
2020-06-03,Neosho,Kansas,20133,2,0
2020-06-04,Neosho,Kansas,20133,2,0
2020-06-05,Neosho,Kansas,20133,2,0
2020-06-06,Neosho,Kansas,20133,2,0
2020-06-07,Neosho,Kansas,20133,2,0
2020-06-08,Neosho,Kansas,20133,3,0
2020-06-09,Neosho,Kansas,20133,3,0
2020-06-10,Neosho,Kansas,20133,4,0
2020-06-11,Neosho,Kansas,20133,4,0
2020-06-12,Neosho,Kansas,20133,6,0
2020-06-13,Neosho,Kansas,20133,6,0
2020-06-14,Neosho,Kansas,20133,6,0
2020-06-15,Neosho,Kansas,20133,8,0
2020-06-16,Neosho,Kansas,20133,8,0
2020-06-17,Neosho,Kansas,20133,10,0
2020-06-18,Neosho,Kansas,20133,10,0
2020-06-19,Neosho,Kansas,20133,15,0
2020-06-20,Neosho,Kansas,20133,15,0
2020-06-21,Neosho,Kansas,20133,15,0
2020-06-22,Neosho,Kansas,20133,17,0
2020-06-23,Neosho,Kansas,20133,17,0
2020-06-24,Neosho,Kansas,20133,17,0
2020-06-25,Neosho,Kansas,20133,17,0
2020-06-26,Neosho,Kansas,20133,23,0
2020-06-27,Neosho,Kansas,20133,23,0
2020-06-28,Neosho,Kansas,20133,23,0
2020-06-29,Neosho,Kansas,20133,29,0
2020-06-30,Neosho,Kansas,20133,29,0
2020-07-01,Neosho,Kansas,20133,30,0
2020-07-02,Neosho,Kansas,20133,30,0
2020-07-03,Neosho,Kansas,20133,33,0
2020-07-04,Neosho,Kansas,20133,33,0
2020-07-05,Neosho,Kansas,20133,33,0
2020-07-06,Neosho,Kansas,20133,35,0
2020-07-07,Neosho,Kansas,20133,35,0
2020-07-08,Neosho,Kansas,20133,34,0
2020-07-09,Neosho,Kansas,20133,34,0
2020-07-10,Neosho,Kansas,20133,39,0
2020-07-11,Neosho,Kansas,20133,39,0
2020-07-12,Neosho,Kansas,20133,39,0
2020-07-13,Neosho,Kansas,20133,43,0
