2020-03-20,Amador,California,06005,1,0
2020-03-21,Amador,California,06005,1,0
2020-03-22,Amador,California,06005,1,0
2020-03-23,Amador,California,06005,1,0
2020-03-24,Amador,California,06005,1,0
2020-03-25,Amador,California,06005,1,0
2020-03-26,Amador,California,06005,1,0
2020-03-27,Amador,California,06005,1,0
2020-03-28,Amador,California,06005,1,0
2020-03-29,Amador,California,06005,1,0
2020-03-30,Amador,California,06005,1,0
2020-03-31,Amador,California,06005,1,0
2020-04-01,Amador,California,06005,2,0
2020-04-02,Amador,California,06005,2,0
2020-04-03,Amador,California,06005,2,0
2020-04-04,Amador,California,06005,2,0
2020-04-05,Amador,California,06005,2,0
2020-04-06,Amador,California,06005,2,0
2020-04-07,Amador,California,06005,2,0
2020-04-08,Amador,California,06005,2,0
2020-04-09,Amador,California,06005,6,0
2020-04-10,Amador,California,06005,6,0
2020-04-11,Amador,California,06005,6,0
2020-04-12,Amador,California,06005,6,0
2020-04-13,Amador,California,06005,6,0
2020-04-14,Amador,California,06005,6,0
2020-04-15,Amador,California,06005,6,0
2020-04-16,Amador,California,06005,6,0
2020-04-17,Amador,California,06005,6,0
2020-04-18,Amador,California,06005,6,0
2020-04-19,Amador,California,06005,6,0
2020-04-20,Amador,California,06005,6,0
2020-04-21,Amador,California,06005,7,0
2020-04-22,Amador,California,06005,7,0
2020-04-23,Amador,California,06005,7,0
2020-04-24,Amador,California,06005,7,0
2020-04-25,Amador,California,06005,7,0
2020-04-26,Amador,California,06005,7,0
2020-04-27,Amador,California,06005,7,0
2020-04-28,Amador,California,06005,7,0
2020-04-29,Amador,California,06005,7,0
2020-04-30,Amador,California,06005,7,0
2020-05-01,Amador,California,06005,7,0
2020-05-02,Amador,California,06005,7,0
2020-05-03,Amador,California,06005,7,0
2020-05-04,Amador,California,06005,7,0
2020-05-05,Amador,California,06005,7,0
2020-05-06,Amador,California,06005,7,0
2020-05-07,Amador,California,06005,7,0
2020-05-08,Amador,California,06005,7,0
2020-05-09,Amador,California,06005,7,0
2020-05-10,Amador,California,06005,7,0
2020-05-11,Amador,California,06005,7,0
2020-05-12,Amador,California,06005,7,0
2020-05-13,Amador,California,06005,8,0
2020-05-14,Amador,California,06005,8,0
2020-05-15,Amador,California,06005,8,0
2020-05-16,Amador,California,06005,8,0
2020-05-17,Amador,California,06005,8,0
2020-05-18,Amador,California,06005,8,0
2020-05-19,Amador,California,06005,8,0
2020-05-20,Amador,California,06005,9,0
2020-05-21,Amador,California,06005,9,0
2020-05-22,Amador,California,06005,9,0
2020-05-23,Amador,California,06005,9,0
2020-05-24,Amador,California,06005,9,0
2020-05-25,Amador,California,06005,9,0
2020-05-26,Amador,California,06005,10,0
2020-05-27,Amador,California,06005,10,0
2020-05-28,Amador,California,06005,10,0
2020-05-29,Amador,California,06005,10,0
2020-05-30,Amador,California,06005,10,0
2020-05-31,Amador,California,06005,10,0
2020-06-01,Amador,California,06005,10,0
2020-06-02,Amador,California,06005,10,0
2020-06-03,Amador,California,06005,10,0
2020-06-04,Amador,California,06005,10,0
2020-06-05,Amador,California,06005,9,0
2020-06-06,Amador,California,06005,9,0
2020-06-07,Amador,California,06005,9,0
2020-06-08,Amador,California,06005,9,0
2020-06-09,Amador,California,06005,9,0
2020-06-10,Amador,California,06005,9,0
2020-06-11,Amador,California,06005,9,0
2020-06-12,Amador,California,06005,9,0
2020-06-13,Amador,California,06005,9,0
2020-06-14,Amador,California,06005,9,0
2020-06-15,Amador,California,06005,10,0
2020-06-16,Amador,California,06005,11,0
2020-06-17,Amador,California,06005,11,0
2020-06-18,Amador,California,06005,11,0
2020-06-19,Amador,California,06005,11,0
2020-06-20,Amador,California,06005,12,0
2020-06-21,Amador,California,06005,12,0
2020-06-22,Amador,California,06005,13,0
2020-06-23,Amador,California,06005,15,0
2020-06-24,Amador,California,06005,17,0
2020-06-25,Amador,California,06005,18,0
2020-06-26,Amador,California,06005,18,0
2020-06-27,Amador,California,06005,19,0
2020-06-28,Amador,California,06005,19,0
2020-06-29,Amador,California,06005,21,0
2020-06-30,Amador,California,06005,21,0
2020-07-01,Amador,California,06005,22,0
2020-07-02,Amador,California,06005,24,0
2020-07-03,Amador,California,06005,29,0
2020-07-04,Amador,California,06005,29,0
2020-07-05,Amador,California,06005,31,0
2020-07-06,Amador,California,06005,31,0
2020-07-07,Amador,California,06005,33,0
2020-07-08,Amador,California,06005,33,0
2020-07-09,Amador,California,06005,34,0
2020-07-10,Amador,California,06005,35,0
2020-07-11,Amador,California,06005,38,0
2020-07-12,Amador,California,06005,38,0
2020-07-13,Amador,California,06005,39,0
